IdEntidad,Nit,RazónSocial,Departamento,Municipio,Dirección,CódigoPostal,Teléfono,Fax,email,PáginaWeb,ÁmbitoSIIF
89970221,823003543:7,Coveñas,DEPARTAMENTO DE SUCRE,COVEÑAS,CALLE 3B 4 - 16 URBANIZACION ALICANTE,706050,095-952880528,095-952880528,alcaldia@covenas-sucre.gov.co,http://www.covenas-sucre.gov.co,No
210005400,890981995:0,La Unión - Antioquia,DEPARTAMENTO DE ANTIOQUIA,LA UNION (ANTIOQUIA),CARRERA 10 10 10,035020,094-5560610,094-5560610,yoanara@hotmail.com,http://www.launion-antioquia.gov.co,No
210013300,800255214:6,Hatillo de Loba,DEPARTAMENTO DE BOLIVAR,HATILLO DE LOBA,Alcaldia municipal,133040,095-4294811,095-4294811,alcaldia@hatillodeloba-bolivar.gov.co,http://,No
210013600,890481447:0,Rioviejo,DEPARTAMENTO DE BOLIVAR,RIOVIEJO,San Pedro Calle 1  9 - 01,134508,"095-5652357,5652363,5652357",095-5652354,contactenos@rioviejo-bolivar.gov.co,http://www.rioviejo-bolivar.gov.co/,No
210015500,800026156:5,Oicatá,DEPARTAMENTO DE BOYACA,OICATA,CALLE 4 3-17,150220,098-7404464,098-7404464,alcaldia@oicata-boyaca.gov.co,http://oicata-boyaca.gov.co/index.shtml?apc=i-xx--2831032,No
210015600,891801244:0,Ráquira,DEPARTAMENTO DE BOYACA,RAQUIRA,CARRERAA 4 # 3 -17,153801,"098-7357174,7357161","098-7357174,102",contactenos@raquira-boyaca.gov.co,http://www.raquira-boyaca.gov.co,No
210019100,800095961:2,Bolívar - Cauca,DEPARTAMENTO DE CAUCA,BOLIVAR (CAUCA),CENTRO ADMINISTRATIVO MUNICIPAL CALLE 6 Nº 4-28 PARQUE LOS FUNDADORES,195001,323-5873219,092-8272383,alcaldia@bolivar-cauca.gov.co,http://www.bolivar-cauca.gov.co,No
210020400,800108683:8,La Jagua de Ibirico,DEPARTAMENTO DE CESAR,LA JAGUA DE IBIRICO,CALLE 5  N° 5 - 35,203020,"095-5769375,5769376,5769207",095-5769376,contabilidad@lajaguadeibirico-cesar.gov.co,http://www.lajaguadeibirico-cesar.gov.co,No
210023300,812001675:1,Cotorra,DEPARTAMENTO DE CORDOBA,COTORRA,CALLE 15 N°165 BARRIO EL CARMEN,230501,034-3145478071,034-8980654,contactenos@cotorra-cordoba.gov.co,http://www.cotorra-cordoba.gov.co,No
210023500,800065474:9,Moñitos,DEPARTAMENTO DE CORDOBA,MOÑITOS,CALLE 22B Nº 4 - 12 PALACIO MUNICIPAL,231001,094-7606617,094-7606733,tesoreriamunicipal@monitos-cordoba.gov.co,http://www.monitos-cordoba.gov.co,No
210025200,899999466:8,Cogua,DEPARTAMENTO DE CUNDINAMARCA,COGUA,CALLE 3 N. 3-34,250401,"091-8548121,8548130,8548121",091-8548394,contabilidad@cogua-cundinamarca.gov.co,http://www.cogua-cundinamarca.gov.co,No
210027600,818000899:1,Río Quito,DEPARTAMENTO DE CHOCO,RIO QUITO,PAIMADO,272050,034-3145918718,094-6712053,contactenos@rioquito-choco.gov.co,http://www.rioquito-choco.gov.co/,No
210027800,891680196:4,Unguía,DEPARTAMENTO DE CHOCO,UNGUIA,CALLE PRINCIPAL UNGUIA,278030,"094-8243176,6515052,6815051",094-8243176,alcaldia@unguia-choco.gov.co,http://www.unguia-choco.gov.co,No
210050400,892099242:8,Lejanías,DEPARTAMENTO DEL META,LEJANIAS,CARRERAA 13 6 58 BARRIO CENTRO ,506061,098-6713605,098-6591007,alcaldia@lejanias-meta.gov.co,http://www.lejanias-meta.gov.co/mapas/el-municipio-en-el-,No
210054800,800017022:9,Teorama,DEPARTAMENTO DE NORTE DE SANTANDER,TEORAMA,CARRERAA 4 # 3-30,547030,"097-5637117,5637118",097-5637122,alcaldia@teorama-nortedesantander.gov.co,http://www.teorama-nortedesantander.gov.co,No
210066400,891480027:1,La Virginia,DEPARTAMENTO DE RISARALDA,LA VIRGINIA,CARRERA 8 N° 5 35,662001,096-3674661,096-3684543,despachoI@lavirginia-risaralda.gov.co,http://www.lavirginia-risaralda.gov.co,No
210068500,890210948:7,Oiba,DEPARTAMENTO DE SANTANDER,OIBA,Calle 10  6 - 26,683021,097-7173285,097-7173741,secretariageneral@oiba-santander.gov.co,http://www.oiba-santander.gov.co,No
210070400,800050331:9,La Unión de Sucre,DEPARTAMENTO DE SUCRE,LA UNION DE SUCRE,Avenida Nuñez,704050,035-3215989156,095-2917080,gar.fc@hotmail.com,http://,No
210073200,800100051:7,Coello,DEPARTAMENTO DE TOLIMA,COELLO,CARRERA 3 N° 2-41,733501,608-3187859563,608-3187859563,secretariadehacienda@coello-tolima.gov.co,http://www.coello-tolima.gov.co,No
210076100,891900945:1,Bolívar - Valle del Cauca,DEPARTAMENTO DE VALLE DEL CAUCA,BOLIVAR (VALLE),CARRERA 4 NO 4-44,761001,092-2224166,092-2224166,hacienda@bolivar-valle.gov.co,http://www.bolivar-valle.gov.co,No
210076400,891901109:3,La Unión - Valle del Cauca,DEPARTAMENTO DE VALLE DEL CAUCA,LA UNION (VALLE),CALLE 15 NO. 14 - 34,761540,"092-2292751,2293118,2292751",092-2293049,alcaldia@launion-valle.gov.co,http://www.launion-valle.gov.co,No
210081300,800136069:4,Fortul,DEPARTAMENTO DE ARAUCA,FORTUL,CARRERA 25 5 45 PALACIO MUNICIPAL,814050,097-8899150,097-8899154,hacienda@fortul-arauca.gov.co,http://www.fortul-arauca.gov.co,No
210085400,800099431:9,Támara,DEPARTAMENTO DE CASANARE,TAMARA,CARRERA 11  5 33 UNIDAD,851050,314-3265743,310-6898312,contactenos@tamara-casanare.gov.co,http://www.tamara-casanare.gov.co/,No
210095200,800103198:4,Miraflores - Guaviare,DEPARTAMENTO DE GUAVIARE,MIRAFLORES (GUAVIARE),Miraflores Guaviare,952001,311-4910338,311-4910338,sec.hacienda@miraflores-guaviare.gov.co,http://miraflores-guaviare.gov.co,No
210105101,890980330:9,Ciudad Bolívar,DEPARTAMENTO DE ANTIOQUIA,CIUDAD BOLIVAR,CALLE 49  51 20,056460,"094-8411144,8411183",094-8411782,ciudadbolivar@antioquia.gov.co,http://www.ciudadolivar-antioquia.gov.co,No
210105501,890984161:9,Olaya,DEPARTAMENTO DE ANTIOQUIA,OLAYA,CALLE 10 10-40,051450,094-8550007,094-8550009,hacienda@olaya-antioquia.gov.co,http://www.olaya-antioquia.gov.co,No
210113001,890480184:4,"Cartagena de Indias, Distrito Turístico y Cultural",DEPARTAMENTO DE BOLIVAR,CARTAGENA DE INDIAS - DISTRITO TURISTICO Y CULTURAL,PLAZA DE LA ADUANA DAG 30 30 78,130001,095-6501092,095-6501095,notificacionesvuac@cartagena.gov.co,http://www.cartagena.gov.co,No
210115001,891800846:1,Tunja,DEPARTAMENTO DE BOYACA,TUNJA,CALLE 19 9 95,150001,098-7405770,098-7422953,contabilidad@tunja.gov.co,http://www.tunja-boyaca.gov.co,No
210115401,800006541:2,La Victoria - Boyacá,DEPARTAMENTO DE BOYACA,LA VICTORIA (BOYACA),LA VICTORIA,155001,098-987265166,098-922202459,alcaldia@lavictoria-boyaca.gov.co,http://www.lavictoria-boyaca.gov.co/,No
210117001,890801053:7,Manizales,DEPARTAMENTO DE CALDAS,MANIZALES,CALLE 19 21 44,170004,"096-8720722,8720489,8720413,8720645","096-8720670,8720456",contabilidad@manizales.gov.co,http://manizales.gov.co,No
210118001,800095728:2,Florencia - Caquetá,DEPARTAMENTO DE CAQUETA,FLORENCIA,CARRERA 12 CON CALLE 15 ESQUINA,180001,"098-4358115,4358112,4358100,3146276694",098-4353333,despacho@florencia-caqueta.gov.co,http://www.alcaldiadeflorencia.gov.co,No
210119001,891580006:4,Popayán,DEPARTAMENTO DE CAUCA,POPAYAN,CARRERA 6 4 21,571000,092-8242954,092-8242685,financiera@popayan.gov.co,http://www.popayan.gov.co,No
210119701,800095984:1,Santa Rosa - Cauca,DEPARTAMENTO DE CAUCA,SANTA ROSA (CAUCA),CABECERA MUNICIPAL,194520,"092-5663200,211425,5663200",092-0,contactenos@santarosa-cauca.gov.co,http://www.santarosa-cauca.gov.co,No
210120001,800098911:8,Valledupar,DEPARTAMENTO DE CESAR,VALLEDUPAR,CARRERA 5 15 69,200001,"095-5742552,5742400,5742713",095-5744043,contabilidad@valledupar-cesar.gov.co,http://www.valledupar-cesar.gov.co,No
210123001,800096734:1,Montería,DEPARTAMENTO DE CORDOBA,MONTERIA,CALLE 27 CARRERAA 3 ESQUINA,230003,"094-7828360,7825649,7811767",094-7824315,contabilidad@monteria.gov.co,http://www.monteria.gov.co/,No
210125001,890680149:4,Agua de Dios,DEPARTAMENTO DE CUNDINAMARCA,AGUA DE DIOS,CALLE 13 8 -36,252850,091-8345110,091-8342119,contador@aguadedios-cundinamarca.gov.co,http://www.aguadedios-cundinamarca.gov.co/,No
210127001,891680011:0,Quibdó,DEPARTAMENTO DE CHOCO,QUIBDO,cra 2 Nº 24A-32,270002,"094-6712186,6711723,6711733",094-6712175,alcaldia@quibdo-choco.gov.co,http://www.quibdo-choco.gov.co,No
210141001,891180009:1,Neiva,DEPARTAMENTO DE HUILA,NEIVA,CARRERA 5 NO. 9 - 74,410010,"098-8722165,8714472,8714239",098-8714607,alcaldia@alcaldianeiva.gov.co,http://www.alcaldianeiva.gov.co,No
210141801,891180181:9,Teruel,DEPARTAMENTO DE HUILA,TERUEL,CALLE 5 NO. 3-59 CENTRO,412040,"098-780004,780430,780004",098-780004,contactenos@teruel-huila.gov.co,http://www.teruel-huila.gov.co,No
210144001,892115007:2,Riohacha,DEPARTAMENTO DE GUAJIRA,RIOHACHA,Calle 2   8 - 38,440001,095-7272333,095-7270606,controlinterno@riohacha-laguajira.gov.co,http://WWW.riohacha-laguajira.gov.co,No
210147001,891780009:4,"Santa Marta, Distrito Turístico, Cultural e Histórico",DEPARTAMENTO DE MAGDALENA,"SANTA MARTA - DISTRITO TURISTICO, CULTURAL E HISTORICO",CALLE 14 # 2-49,470004,095-4382777,095-4382993,hacienda@santamarta.gov.co,http://www.santamarta.gov.co,No
210150001,892099324:3,Villavicencio,DEPARTAMENTO DEL META,VILLAVICENCIO,CALLE 40 NO. 33 64 CENTRO,500001,608-6724521,608-6713317,contabilidad@villavicencio.gov.co,http://www.villavicencio.gov.co,No
210152001,891280000:3,San Juan de Pasto,DEPARTAMENTO DE NARIÑO,SAN JUAN DE PASTO,CARRERA 28 No.16-05 BARRIO SAN ANDRES,520003,092-7244326,092-7244326,alcalde@pasto.gov.co,http://www.pasto.gov.co,No
210154001,890501434:2,San José de Cúcuta,DEPARTAMENTO DE NORTE DE SANTANDER,SAN JOSE DE CUCUTA,CALLE 11 NO. 5-49 PALACIO MUNICIPAL BARRIO: CENTRO,540006,097-5833939,097-5718895,alcaldia@cucuta-nortedesantander.gov.co,http://www.cucuta-nortedesantander.gov.co,No
210163001,890000464:3,Armenia,DEPARTAMENTO DE QUINDIO,ARMENIA,CALLE 16 CARRERA 17 EDIFICIO CAM,163001,"096-7417100,7412430,7410055,7410806,7441918","096-7442945,7441918",alcalde@armenia.gov.co,http://www.armenia.gov.co,No
210163401,890000564:1,La Tebaida,DEPARTAMENTO DE QUINDIO,LA TEBAIDA,CARRERA 6 Nº 12-27,633020,606-7542951,606-7542512,contabilidad@latebaida-quindio.gov.co,http://www.latebaida-quindio.gov.co,No
210166001,891480030:2,Pereira,DEPARTAMENTO DE RISARALDA,PEREIRA,CARRERA 7 NO 18 55,660002,"096-3382072,3248230,3248231",096-3332044,CONTADOR@PEREIRA.GOV.CO,http://www.pereira.gov.co,No
210168001,890201222:0,Bucaramanga,DEPARTAMENTO DE SANTANDER,BUCARAMANGA,CARRERA 11 34 52,680006,"097-6421996,6337000,",097-6308787,contactenos@bucaramanga.gov.co,http://www.bucaramanga.gov.co,No
210168101,890210890:9,Bolívar - Santander,DEPARTAMENTO DE SANTANDER,BOLIVAR (SANTANDER),CALLE 9 No. 3 - 31,685001,097-7569006,097-7569015,alcaldia@bolivar-santander.gov.co,http://www.bolivar-santander.gov.co,No
